----------
Target: 1496673325239,0,0.6,15
2,1496673338721,-0.1009791,1.227157,3.550547
2,1496673338732,-0.100029,1.177868,3.634327
2,1496673338744,-0.09907895,1.127368,3.718107
2,1496673338755,-0.09812887,1.075657,3.801887
2,1496673338766,-0.09717879,1.022734,3.885667
2,1496673338777,-0.0962287,0.9686009,3.969447
2,1496673338788,-0.09527862,0.9132563,4.053227
2,1496673338799,-0.09432854,0.8567007,4.137008
2,1496673338811,-0.09337845,0.7989339,4.220788
2,1496673338822,-0.09242837,0.739956,4.304568
2,1496673338833,-0.09147829,0.679767,4.388349
2,1496673338844,-0.09052821,0.6183668,4.472129
2,1496673338855,-0.08957812,0.5557556,4.555909
2,1496673338867,-0.08862804,0.4919333,4.639689
2,1496673338878,-0.08767796,0.4268998,4.72347
2,1496673338889,-0.08672787,0.3606552,4.80725
2,1496673338900,-0.08577779,0.2931995,4.89103
2,1496673338911,-0.08493394,0.2786399,4.962948
2,1496673338922,-0.08412593,0.275728,5.03179
2,1496673338933,-0.08332668,0.2751456,5.099885
2,1496673338945,-0.08252937,0.2750291,5.167816
2,1496673338956,-0.08173253,0.2750058,5.235705
2,1496673338967,-0.0809359,0.2750012,5.303576
2,1496673338978,-0.08013941,0.2750002,5.371436
2,1496673338989,-0.07934306,0.2750001,5.439285
2,1496673339000,-0.07854682,0.275,5.507123
2,1496673339012,-0.07775072,0.275,5.57495
2,1496673339023,-0.07695474,0.275,5.642766
2,1496673339034,-0.0761589,0.275,5.710572
2,1496673339045,-0.07536317,0.275,5.778367
2,1496673339056,-0.07456756,0.275,5.846151
2,1496673339067,-0.07377209,0.275,5.913925
2,1496673339079,-0.07297675,0.275,5.981688
2,1496673339090,-0.07218152,0.275,6.049439
2,1496673339101,-0.07138643,0.275,6.11718
2,1496673339112,-0.07059146,0.275,6.184911
2,1496673339123,-0.06979662,0.275,6.25263
2,1496673339134,-0.06900191,0.275,6.320339
2,1496673339146,-0.06820732,0.275,6.388037
2,1496673339157,-0.06741285,0.275,6.455725
2,1496673339168,-0.06661852,0.275,6.523401
2,1496673339179,-0.06582431,0.275,6.591067
2,1496673339190,-0.06503022,0.275,6.658722
2,1496673339202,-0.06423626,0.275,6.726367
2,1496673339213,-0.06344242,0.275,6.794001
2,1496673339224,-0.06264871,0.275,6.861624
2,1496673339235,-0.06185513,0.275,6.929236
2,1496673339246,-0.06106167,0.275,6.996837
2,1496673339257,-0.06026835,0.275,7.064428
2,1496673339269,-0.05947514,0.275,7.132008
2,1496673339280,-0.05868206,0.275,7.199577
2,1496673339291,-0.05788911,0.275,7.267136
2,1496673339302,-0.05709628,0.275,7.334683
2,1496673339313,-0.05630358,0.275,7.402221
2,1496673339324,-0.05551101,0.275,7.469747
2,1496673339335,-0.05471856,0.275,7.537263
2,1496673339347,-0.05392623,0.275,7.604768
2,1496673339358,-0.05313404,0.275,7.672262
2,1496673339369,-0.05234196,0.275,7.739746
2,1496673339380,-0.05155002,0.275,7.807219
2,1496673339391,-0.0507582,0.275,7.874681
2,1496673339403,-0.04996651,0.275,7.942132
2,1496673339414,-0.04917494,0.275,8.009573
2,1496673339425,-0.0483835,0.275,8.077003
2,1496673339436,-0.04680099,0.275,8.21183
2,1496673339447,-0.04600992,0.275,8.279228
2,1496673339458,-0.04521899,0.275,8.346616
2,1496673339469,-0.04442817,0.275,8.413992
2,1496673339481,-0.04363748,0.275,8.481358
2,1496673339492,-0.04284692,0.275,8.548713
2,1496673339503,-0.04205648,0.275,8.616057
2,1496673339514,-0.04126617,0.275,8.683391
2,1496673339525,-0.04047598,0.275,8.750713
2,1496673339537,-0.03968592,0.275,8.818026
2,1496673339548,-0.03889599,0.275,8.885327
2,1496673339559,-0.03810618,0.275,8.952619
2,1496673339570,-0.03731649,0.275,9.019898
